Casnik_1|Won how stra#zujo.
Casnik_2|Won jo pijany a spi.
Casnik_3|Kluc.
Casnik_4|Kluc do pok#ladni#s#ca.
Casnik_5|Lawowy ko#zuch.
Casnik_6|Ko#zuch jo zaw#es#ce dopomnjenka.
Casnik_7|T#sa#sna bro#n.
Casnik_8|Zeger.
Casnik_9|#Sp#ery. Jo akle zeger t#yich.
Casnik_10|#Sp#ery. N#ent jo zeger styrich!
Casnik_11|Figura jan#dela.
Casnik_12|To jo tola narucny s#ly#ncny zeger.
Casnik_13|Nic za mnjo. To jano boli!
Casnik_14|To njok sce#lego wopyta#y.
Casnik_15|Ga#z kral to wi#di, jogo zaw#es#ce wot#strofujo.
Casnik_16|Tak #sp#ery njedosegnjom.
Casnik_17|Njamogu z nim pow#eda#y.
Casnik_18|Dalej njetrjebam zeger p#yestaji#y.
Casnik_19|W s#lu#zbje njepiju - hiks. N#ento jo akle zeger t#yich - how ma#s zeger.
Casnik_20|Za go#dinu se sko#ncy moj #d#e#lowy cas. Ga#z zeger to pokazujo, mo#zomej g#la#zack wupi#y!
Casnik_21|Ow, jo ju#zo zeger styrich! Tak mogu se jaden dowoli#y.
Casnik_22|Oj, mocny tubak!
Casnik_23|Jipijaju - ja #yi baju, jipijaju - ja som w teju!
Casnik_24|To jo w por#edku, sl#ezy m#e won wisy - hik, hik ...
Casnik_25|Hik, co z nim co#s? Bogatstwa su #y#e#zke - n#ekotarych su ju#zo zat#locyli!
Casnik_26|Co groni pijany? Som g#lowny stra#znik a z tym wjednik ... ehm ... wjednik - hiks - w#syknych stra#znikow na gro#de.
Casnik_27|To jo kralowa #d#e#larnja. P#yistup zakazany - hiks - hiks ... N#ento m#e ju#zo njemol. Musym #d#e#la#y!
Casnik_28|Stra#zuju! - hiks -
Casnik_29|Ja som Krabat a pytam kluc za komoru pok#ladow.
Casnik_30|Daj#yo m#e p#sosym kluc za komoru pok#ladow.
Casnik_31|S#co ga pijany!
Casnik_32|Co jo za tymi #durjami?
Casnik_33|Co how cyni#yo?
Casnik_34|How smjer#di za pale#ncom. Na zasejwi#denje.
Casnik_35|To m#e njejo p#sawe rozgrono. Na zasejwi#denje.
Casnik_36|Hej, njama#s tam nic pyta#y!
Casnik_37|P#yistup zakazany, sl#edk! Hiks...
Casnik_38|Njes#ly#sy#s? Zawo#lam ned stra#zu!
Casnik_39|Njel#ez m#e na k#yebjat!
Casnik_40|Wosta#n jano tam, #do#z sy!
Casnik_41|hiks hiks hiks... Mam t#sach!
Casnik_42|Hrrrrrrrrrrrrr ...
Chodba_1|Jano drogotki w tom gro#de.
Chodba_2|Woni wostanu how!
CornyCholmc1_1|#Yamny l#es.
CornyCholmc1_2|Wjas na k#somje l#esa. Serbska wjas.
CornyCholmc1_3|Moj echo groni, a#z jo to Carny Cho#lmc.
CornyCholmc1_4|#Yamny l#es, s#ly#sy#s mocny g#los Krabata?
