Casnik_1|W#on tu stra#zuje.
Casnik_2|N#etko je pjany a spi.
Casnik_3|Klu#k.
Casnik_4|Klu#k do pok#ladni#s#ca.
Casnik_5|Lawjacy ko#zuch.
Casnik_6|Ko#zuch je zaw#es#ce dopomnjenka.
Casnik_7|Stra#sna br#o#n.
Casnik_8|#Kasnik.
Casnik_9|Pokazowaki. Je hakle w t#roch.
Casnik_10|Pokazowaki. N#etko je w #styrjoch!
Casnik_11|Postawa jand#dela.
Casnik_12|To je tola naru#kny s#l#on#kny #kasnik.
Casnik_13|Ni#ko za mnje. To jeno#z boli!
Casnik_14|To nochcu docy#la spyta#c.
Casnik_15|Hdy#z kral to wid#di, jeho zaw#es#ce poch#losta.
Casnik_16|Tak pokazowaki njedosahnu.
Casnik_17|Njem#o#zu z njej r#e#ke#c.
Casnik_18|Dale njetrjebam #kasnik p#restaje#c.
Casnik_19|W s#lu#zbje njepiju - hiks. N#etko je hakle w t#roch, tamle ma#s #kasnik.
Casnik_20|Za hod#dinu mam swjatok. Hdy#z #kasnik to pokazuje, m#o#zemoj sej #skle#n#kku pop#re#c.
Casnik_21|Ow, je hi#zo w #styrjoch! Tak m#o#zu sej jedyn sr#ebny#c.
Casnik_22|Oj, sylny tobak!
Casnik_23|Jipijaju - ja #ci baju, jipijaju - ja sym w #kaju!
Casnik_24|To je w porjadku, zady mnje w#on wisa - hik, hik ...
Casnik_25|Hik, #sto z nim chce#s? Bohatstwo je #ce#zke - n#ekotrych je hi#zo zat#l#o#ki#lo!
Casnik_26|#Sto r#eka pjany? Sym h#lowny stra#znik a z tym nawoda ... ehm ... nawoda - hiks - w#sitkich stra#znikow w hrod#de.
Casnik_27|To je kralowska d#d#e#larnja. P#ristup zakazany - hiks - hiks ... N#etko mje hi#zo njemyl. Dyrbju d#d#e#la#c!
Casnik_28|Stra#zuju! - hiks -
Casnik_29|Ja sym Krabat a pytam klu#k do pok#ladni#s#ca.
Casnik_30|Daj#ce mi pro#su klu#k do pok#ladni#s#ca.
Casnik_31|S#ce tola pjany!
Casnik_32|#Sto je za tutymi durjemi?
Casnik_33|#Sto tu d#d#e#la#ce?
Casnik_34|Tu smjerd#di za palencom. Bo#zemje.
Casnik_35|To mi njeb#e prawa rozmo#lwa. Bo#zemje.
Casnik_36|Hej, nima#s tam ni#co pyta#c!
Casnik_37|P#ristup zakazany, wr#o#ko! Hiks...
Casnik_38|Njes#ly#si#s? Zawo#lam hnydom stra#zu!
Casnik_39|Njel#ez mi na ko#zuch!
Casnik_40|Wosta#n jeno#z tam, hd#de#z sy!
Casnik_41|hiks hiks hiks... Mam strach!
