Loc2_CornyCholmc2_00000	#Cmowy l#es.
Loc2_CornyCholmc2_00001	#Yamny l#es.
Loc2_CornyCholmc2_00003	Moje echo praji, zo je to #Korny Cho#lmc.
Loc2_CornyCholmc2_00004	Moj echo groni, a#z jo to Carny Cho#lmc.
Loc2_CornyCholmc2_00006	N#etko nochcu m#lynka wo#la#c!
Loc2_CornyCholmc2_00007	N#ent njok m#lynika wo#la#y.
Loc2_CornyCholmc2_00009	Do tuteje wjeski nochcu. Sym tam hus#ci#so po pro#senju chod#di#l, a lud#do tam jeno#z na mnje swarja.
Loc2_CornyCholmc2_00010	Do teje jsy njok. Som tam ces#cej na p#sosenje choj#di#l, a lu#de tam jano na mnjo #s#cokaju.
Loc2_Cyrkej2_00000	Cyrkwinske durje su zawrjene. Z cyrkwje je hud#dba s#ly#se#c.
Loc2_Cyrkej2_00001	Cerkwinske #durja su zamknjone. Z cerkwje jo muzika s#ly#sa#y.
Loc2_Cyrkej2_00003	Nicht#o njes#ly#si!
Loc2_Cyrkej2_00004	Nichten njes#ly#sy!
Loc2_Cyrkej2_00006	Kajku krasnu hud#dbu tule s#ly#su ...
Loc2_Cyrkej2_00007	Sm#em do cyrkwje, zo bych sej ju wobhlada#l?
Loc2_Cyrkej2_00008	Kotre wu#sparanja mjez protestantami a katolskimi m#eni#ce?
Loc2_Cyrkej2_00009	Sym Krabat z Jitka.
Loc2_Cyrkej2_00010	B#ech wu#komnik w m#lynje pola #Korneho Cho#lmca.
Loc2_Cyrkej2_00011	Aha, znaje#ce #Kertowski m#lyn?
Loc2_Cyrkej2_00012	W#odny mu#z mje s#cele. Je mi wo Koraktoru pow#eda#l, a ja chcu tutu kuz#larsku knihu pyta#c.
Loc2_Cyrkej2_00013	Ach, ni#ko.
Loc2_Cyrkej2_00014	D#dakuju so za rozmo#lwu.
Loc2_Cyrkej2_00015	Kaku k#sasnu muziku how s#ly#sym...
Loc2_Cyrkej2_00016	Sm#eju do cerkwje, aby se je wobgl#eda#l?
Loc2_Cyrkej2_00017	Kake wu#sparanja mjazy protestantami a katolskimi m#eni#so?
Loc2_Cyrkej2_00018	Ja som Krabat z Jitka.
Loc2_Cyrkej2_00019	Ja som wuknje#nc w m#lynje pla Carnego Cho#lmca by#l.
Loc2_Cyrkej2_00020	Aha, znajo#yo Cartojski m#lyn?
Loc2_Cyrkej2_00021	Wodny mu#z jo m#e pos#la#l. Jo m#e wo Koraktorje pow#eda#l, a ja cu how guslowarske knig#ly pyta#y.
Loc2_Cyrkej2_00022	Ach, nic.
Loc2_Cyrkej2_00023	#D#ekuju se za rozgrono.
Loc2_Cyrkej2_00033	To ma#s prawje. Kralowna hud#dbnych instrumentow su pi#s#cele, a hdy#z zaklin#ka, so na#s B#oh t#on Knjez raduje.
Loc2_Cyrkej2_00034	To ma#s p#sawje. Kralowka muzikowych instrumentow su orgele, a ga#z zaklince, se na#s Bog, ten kn#ez wjaseli.
Loc2_Cyrkej2_00036	N#e, to njeje m#o#zno. Stare wu#sparanja mjez protestantami a katolskim knjejstwom njejsu hi#s#ce rozrisane.
Loc2_Cyrkej2_00037	N#e, to njejo mo#zno. Stare wu#sparanja mjazy protestantami a katolskim kn#estwom njejsu hy#s#ci rozw#ezane.
Loc2_Cyrkej2_00039	Do#lho#z to njebud#de, wostanje cyrkej zawrjena.
Loc2_Cyrkej2_00040	Tak d#lujko, a#z to njebu#do, wostanjo cerkwja zacynjona.
