Loc2_CornyCholmc2_00002	Ein d#usterer Wald.
Loc2_CornyCholmc2_00005	Mein Echo sagt, da#t das Schwarzkollm ist.
Loc2_CornyCholmc2_00008	Ich will den M#uller jetzt nicht rufen.
Loc2_CornyCholmc2_00011	In dieses Dorf will ich nicht. Ich bin dort oft betteln gewesen und die Leute schimpfen nur auf mich.
Loc2_Cyrkej2_00002	Die Kircht#ur ist verschlossen. Man h#prt Musik aus der Kirche kommen.
Loc2_Cyrkej2_00005	Es hoert keiner!
Loc2_Cyrkej2_00024	Welch sch#pne Musik ist hier zu h#pren...
Loc2_Cyrkej2_00025	Darf ich in die Kirche, um sie mir mal anzuschauen ?
Loc2_Cyrkej2_00026	Welche Auseinandersetzungen zwischen Protestanten und Katholiken meinen sie ?
Loc2_Cyrkej2_00027	Ich bin Krabat aus Eutrich.
Loc2_Cyrkej2_00028	Ich war Lehrling in der M#uhle bei Schwarzkollm.
Loc2_Cyrkej2_00029	Aha, sie kennen die schwarze M#uhle ?
Loc2_Cyrkej2_00030	Der Wassermann schickt mich. Er hat mir vom Koraktor erz#ahlt und ich m#pchte dieses Zauberbuch suchen.
Loc2_Cyrkej2_00031	Ach, nichts.
Loc2_Cyrkej2_00032	Ich bedanke mich f#ur das Gespr#ach.
Loc2_Cyrkej2_00035	Da hast Du recht. Die K#pnigin der Musikinstrumente ist die Orgel und wenn sie erklingt, dann freut sich auch unser Herr.
Loc2_Cyrkej2_00038	Nein, das ist nicht m#pglich. Die alten Auseinandersetzungen zwischen den Protestanten und der katholischen Regierung sind noch nicht beigelegt.
Loc2_Cyrkej2_00041	Solange das nicht erledigt ist, bleibt die Kirche geschlossen.
Loc2_Cyrkej2_00044	Nun ja, das war eine Folge des drei#tigj#ahrigen Krieges. Die Stadt Wittichenau und mit ihr auch die Kirche durfte sich nicht mehr zum katholischen Glauben bekennen.
Loc2_Cyrkej2_00047	Die Anh#anger Luthers hatten jetzt hier die geistliche macht. Aber der Stadtrat hat die Kirche wieder schlie#ten lassen, weil die Mitglieder des Rates von der Leitung des Klosters Marienstern w#ahlen lassen.
Loc2_Cyrkej2_00050	Und mit diesem katholischen Einflu#t l#a#tt sich ordentlich Druck aus#uben.
Loc2_Cyrkej2_00053	So ein Quatsch! Glauben diese Protestanten etwa an einen anderen Gott?
Loc2_Cyrkej2_00056	Nein. Wir glauben immer noch an denselben Gott. Das ist jedoch eine neue Richtung, die von der alten r#pmisch - katholischen Kirche ausgegangen ist.
Loc2_Cyrkej2_00059	Wieso mu#t das alles so kompliziert sein?
Loc2_Cyrkej2_00062	Ja, fr#uher war alles einfach. Aber das sind vergangene Zeiten, oder...?
Loc2_Cyrkej2_00065	Sei willkommen, Krabat. Ich bin der Wittichenauer Pfarrer.
Loc2_Cyrkej2_00068	Das ist nicht m#pglich. Ich kenne keinen, der das #uberlebt hat.
Loc2_Cyrkej2_00071	Die Leute erz#ahlen mir viel und den M#uller habe ich auch schon kennengelernt. Aber entschuldige, Krabat - ich mu#t dem Orgelspieler die Noten vorbereiten.
Loc2_Cyrkej2_00074	Was hat Dir Jurij denn so erz#ahlt?
Loc2_Cyrkej2_00077	Von einer alten Legende, einem heiligen Relikt des sorbischen Volkes ... aber etwas verstehe ich nicht. Wieso hat der M#uller Zauberkr#afte ? Er hat doch den Koraktor gar nicht, und er hat ihn auch nie besessen.
Loc2_Cyrkej2_00080	Nicht hier auf der Stra#te. Komm mit.
Loc2_Doma2_00002	Die Mutter erfuhr, in welchen H#anden ihr Sohn steckte und die anf#angliche Freude kehrte sich um in gro#tte Angst.Aber unser Krabat ist doch ein kluges K#ppfchen und hat sich schon in der M#uhle eine List ausgedacht.
Loc2_Doma2_00013	Mutter, nur ihr k#pnnt mir helfen. Kommt mit mir in den Wald bei Schwarzkollm und verlangt vom M#uller, da#t er mich freil#a#tt.
Loc2_Doma2_00014	Damit hat er keinen Ausweg, weil das Herz einer liebenden Mutter f#ur diesen Teufel wie Weihwasser ist.
Loc2_Doma2_00015	Wenn ihr aber diese Bitte an den M#uller richtet, werden sich alle Lehrlinge in Raben verwandeln. Nur wenn ihr mich unter ihnen erkennt, bin ich frei.
Loc2_Doma2_00016	Das ist eine ziemlich schwere Aufgabe, aber alle meine Kameraden werden ihren Schnabel auf der linken Seite haben, ich werde mich aber unter dem rechten Fl#ugel putzen.
Loc2_Doma2_00017	Das ist das einzige Zeichen, was ich euch geben kann.
Loc2_Doma2_00020	Krabat war wieder frei, aber er fand zu Hause die alte ???, Leid und Armut vor. Da waren bessere ??? in der M#uhle. Die Eltern hatten kein Geld in der Tasche und seine kleinen Zauberkunstst#ucke halfen auch nicht so richtig.
Loc2_Doma2_00023	Aber wenn er Zeit hatte oder es Abend war, wenn er die Sterne am Firnament z#ahlte, erinnerte er sich oft an das Gespr#ach zwischen dem M#uller und der Katze. Sie redeten damals von einem Buch, welches unglaublich m#achtig sein mu#tte, und welches den M#uller so ver#argerte, weil er es nicht besa#t.
Loc2_Doma2_00026	#fEtwas Wahres ist immer zwischen diesem Geschw#atz#F. Diesen Satz hatte Krabat nicht vergessen und in dem Jungen wuchs der Wille, mehr #uber dieses Buch zu erfahren - oder es sogar zu suchen und zu finden.
Loc2_Doma2_00029	Er ist sehr tief!
Loc2_Doma2_00032	Eine T#ur halt!
Loc2_Doma2_00035	Das ist mein Weidestock.
Loc2_Doma2_00038	Geradeaus geht es nach Eutrich.
Loc2_Doma2_00041	Das ist meine liebe Mutter!
Loc2_Doma2_00044	Ich habe sie so dressiert, da#t sie sich selbst h#uten.
Loc2_Doma2_00047	Besser, wenn ich mich jetzt auf den Weg mache!
Loc2_Doma2_00050	Das kann ich nicht mitnehmen!
Loc2_Doma2_00053	Dann falle ich noch rein. N#p, n#p!
Loc2_Doma2_00056	Ich lasse sie lieber in Ruhe.
Loc2_Doma2_00059	Dort unten ist nichts.
Loc2_Doma2_00062	Hier nicht.
Loc2_Doma2_00065	Das lohnt nicht.
Loc2_Doma2_00068	Nein, da#t ist Tierqu#alerei !
Loc2_Doma2_00071	Sie laufen schon nicht weg.
Loc2_Doma2_00074	Das schmeckt ihnen nicht.
Loc2_Doma2_00077	Krabat ? Krabat ! Bist Du es wirklich !? Komm zu mir...
Loc2_Doma2_00080	Du bist ja ganz mager. Wei#tt Du, was ich und Dein Vater uns f#ur Sorgen gemacht haben - so eine lange Zeit...
Loc2_Doma2_00083	Ich habe sie aber gefunden...
Loc2_Doma2_00086	Was hast Du gefunden ... endlich mal Deinen Verstand ?
Loc2_Doma2_00089	Die Schwarze M#uhle...
Loc2_Doma2_00092	Wenn das die einzige M#pglichkeit ist...
Loc2_Doma2_00095	Das ist die letzte und einzige M#pglichkeit ... sonst bin ich verloren - f#ur immer...
Loc2_Doma2_00098	Nein, Krabat. Du gehst mir nirgens mehr hin. Denkst Du vielleicht, da#t der K#pnig Dich in seiner Kutsche mit nach Dresden nimmt ?
Loc2_Doma2_00101	Aber Mutter, ich mu#t doch nach Dresden ! Wenn ich den Koraktor habe, dann kannst Du alles bekommen, was Du Dir w#unschst !
Loc2_Doma2_00104	Ich brauche nichts mehr. Ich bin auch so gl#ucklich. Ich habe Dich und den Vater - das reicht mir. Jetzt geh aber endlich Schweihe h#uten - und keine Albernheiten mit diesen Tieren !
Loc2_Dzera_00002	Jetzt erinnert sich Krabat an die Warnungen der Leute und die Worte der Mutter. Und die Mutter war auch der Schl#ussel zur Freiheit. Er erbat sich vom M#uller ein wenig Zeit, um die Eltern zu besuchen.
Loc2_Dzera_00005	Er ist flei#tig, vielleicht zu flei#tig ... er ist schlau ...
Loc2_Dzera_00008	... vielleicht zu schlau ... miau ... und das Jahr hat er bald vollendet ...
Loc2_Dzera_00011	Ja, und Du wei#tt, was das hei#tt ... liebstes K#atzchen ...
Loc2_Dzera_00014	Sicher, der beste und kl#ugste ... verschwindet ... miau ... seine Knochen werden im M#uhlrad gebrochen ...
Loc2_Dzera_00017	im Rad ohne R#uckkehr ... miau ... und der H#pllenmeister freut sich ...
Loc2_Dzera_00020	So ist es bestimmt ... wer klug ist, der ist auch m#achtig ... und das vertrage ich nicht. Er hat noch einen vollen Monat, dann stirbt er.
Loc2_Dzera_00023	Die Knochen werden ihm gebrochen? Einen vollen Monat hat er noch? - Wen meinen sie blo#t?
Loc2_Dzera_00026	Du hast Angst, da#t er zu stark wird ... miau ... ohne das Buch wirst Du immer Angst haben ...
Loc2_Dzera_00029	So ein Quatsch !!! Das Buch existiert nicht und Schluss !!! Das ist doch nur noch ein M#archen...
Loc2_Dzera_00032	Du hast nicht viel Macht ... miau ... das ist nur ein l#acherlich kleiner Teil dessen, was das Buch beinhaltete, das Buch aller Zauberb#ucher ... miau ...
Loc2_Dzera_00035	Ich habe keine Macht ? Ich ... habe keine ... Macht ? Mu#t ich Dich erst in einen Hasen verzaubern ? Geh lieber M#ause jagen...
Loc2_Dzera_00038	Bah, die alten, stinkenden M#ause ... das ist nichts f#ur mich ... miau ... und Deine zauberk#unste reichen gerade f#ur einen Kindergeburtstag ... miau ...
Loc2_Dzera_00041	Gro#te, m#achtige Zaubereien ... daf#ur fehlt das Buch ...
Loc2_Dzera_00044	Geh mir aus dem Weg ... raus !!! Und bereite alles vor ... wenn das erste Laub f#allt, f#allt auch seine Seele -
Loc2_Dzera_00047	KRABAT, dein Dienst neigt sich dem Ende zu...
Loc2_Dzera_00050	Was, ich bin gemeint ? Oh Mutter, hilf mir ...
Loc2_Hojnt2_00002	Das ist eine Falle.
Loc2_Hojnt2_00005	Im Haus des J#agers am Ende der Schnur ist eine Klingel. Sie klingelt, wenn er etwas #fgefangen#F hat.
Loc2_Hojnt2_00008	Eine Klingel.
Loc2_Hojnt2_00011	Hier h#angen Rebh#uhner.
Loc2_Hojnt2_00014	Das ist der Schatten des J#agers.
Loc2_Hojnt2_00017	Eine Axt. Die geh#prt bestimmt dem J#ager.
Loc2_Hojnt2_00020	Der Hauseingang.
Loc2_Hojnt2_00023	Holz aus dem Wald.
Loc2_Hojnt2_00026	Das erreiche ich nicht!
Loc2_Hojnt2_00029	Ich trete nicht nochmal auf die Falle !
Loc2_Hojnt2_00032	Das kann ich nicht, vor dem Fenster ! Wenn mich der Jaeger sieht ! Ich mu#t das irgendwie anders anstellen.
Loc2_Hojnt2_00035	Das merkt der J#ager bestimmt.
Loc2_Hojnt2_00038	Wenn ich noch weiter zum Fenster reinschaue, sieht der J#ager mich vielleicht und schimpft mich dann aus.
Loc2_Hojnt2_00041	Das w#urde mir der J#ager #ubelnehmen!
Loc2_Hojnt2_00044	Ich will den J#ager nicht st#pren.
Loc2_Hojnt2_00047	Zu schwer!
Loc2_Hojnt2_00050	Das hat keinen Sinn mehr. Nich noch einmal!
Loc2_Hojnt2_00053	Ich will das Fenster nicht kaputtmachen!
Loc2_Hojnt2_00056	So brennt es nicht!
Loc2_Inmlyn_00002	Oft sa#t er am h#pchsten Fenster der M#uhle und dachte ??? an zu Hause - an den Vater und die Mutter.%%Sicher, es war nicht nur das M#ullerhandwerk, was Krabat hier gesehen hatte. Das M#uhlrad ohne Wasser blieb nicht das einzige Mysterium, und Krabat fragte sich, woher der M#uller seine Macht sch#ppft.
Loc2_Inmlyn_00005	Eines Tages im Sp#atfr#uhling - die Sonne hatte sich schon hinter dem Wald versteckt und Krabat hatte noch einige M#ause im Kornspeicher gefangen - da erblickte er auf einmal ein kleines Loch, welches die kleinen Nager in den Boden gefressen hatten. Eine bekannte Stimme drang an seine Ohren...
Loc2_Inmlyn_00008	Jetzt erinnert sich Krabat an die Warnungen der Leute und die Worte der Mutter. Und die Mutter war auch der Schl#ussel zur Freiheit.
Loc2_Inmlyn_00011	Was, ich bin gemeint ? Oh Mutter, hilf mir ...
Loc2_Jezba_00002	So flitzte des K#pnis Wagen in den Mittelpunkt der s#achsischen Macht, nach Dresden.
Loc2_Jezba_00005	Nach einiger Zeit interessierte sich August f#ur den sorbischen Kerl nicht mehr und steckte ihn in die k#pnigliche K#uche. Krabat aber hatte die Worte des Wassermanns und des Wittichenauer Pfarrers nicht vergessen.
Loc2_Jitk2_00002	Hm, die T#ur ist sch#pner als unsere...
Loc2_Jitk2_00005	Das ist der Wagen unserer Nachbarn.
Loc2_Jitk2_00008	Sehr praktisch, aber f#ur mich nur hinderlich.
Loc2_Jitk2_00011	Es ist niemand zu Hause!
Loc2_Kulow2_00002	Der H#andler hat nur eine Hand.
Loc2_Kulow2_00005	Er handelt mit Fisch.
Loc2_Kulow2_00008	Die T#ur ins Haus.
Loc2_Kulow2_00011	Die T#ur ist offen.
Loc2_Kulow2_00014	Stroh.
Loc2_Kulow2_00017	Im Gef#a#t ist Wasser.
Loc2_Kulow2_00020	Sie ist verschlossen. Ich habe keinen Schl#ussel.
Loc2_Kulow2_00023	Du hast hier nichts zu suchen!
Loc2_Kulow2_00026	La#t die T#ur offen! Ich brauche frische Luft.
Loc2_Kulow2_00029	Auch wenn die T#ur offen ist, hei#tt das nicht, da#t Du hier reindarfst. Wieder so ein Bauernjunge!
Loc2_Kulow2_00032	Das brauche ich jetzt nicht!
Loc2_Kulow2_00035	Ich bin nicht durstig.
Loc2_Kulow2_00038	Das Gef#a#t ist zu schwer.
Loc2_Kulow2_00041	Wof#ur sollte ich ihn bestrafen?
Loc2_Kulow2_00044	Wof#ur sollte ich ihn bestrafen?
Loc2_Kulow2_00047	Ich will ihn nicht ver#argern!
Loc2_Kulow2_00050	Ich will ihn nicht ver#argern!
Loc2_Kulow2_00053	Das will ich nicht anbrennen!
Loc2_Kulow2_00056	Dann brennt bald das ganze Dorf!
Loc2_Kulow2_00059	Der Fisch hat hier nichts zu suchen!
Loc2_Kulow2_00074	Was verkaufen Sie ?
Loc2_Kulow2_00075	Mehl ? Wo lassen Sie denn das Korn mahlen ?
Loc2_Kulow2_00076	Woher kommen Sie ?
Loc2_Kulow2_00077	Da haben Sie als Soldat viel Schreckliches gesehen !
Loc2_Kulow2_00078	In welcher Gegend haben Sie gek#ampft ?
Loc2_Kulow2_00079	Ach nichts - ich habe mich geirrt.
Loc2_Kulow2_00080	Danke. Ich schaue mir noch andere Buden an.
Loc2_Kulow2_00083	Mehl, Getreide, Hirse...alles, was man zum Leben braucht.
Loc2_Kulow2_00086	Ich kaufe das Mehl auch nur von einem anderen H#andler. Das Getreide kommt aus Preu#ten.
Loc2_Kulow2_00089	Ich bin ein alter Soldat. Eine Heimat habe ich nicht, und so bin ich dort zu Hause, wohin ich meine Hut haenge.
Loc2_Kulow2_00092	Ach Junge, was glaubst Du,was so ein Soldat macht - friedenssichernde Ma#tnahmen ?
Loc2_Kulow2_00095	Meine letzte Schlacht war 1683. Ich war damals Soldat beim Kurf#ursten Johann Georg III.
Loc2_Kulow2_00098	Die T#urken standen vor Wien - das ist in #Psterreich - und wir k#ampften im Verbund mit der
Loc2_Kulow2_00101	Armee des polnischen K#pnigs Jan Sobieski. Ein heisser Kampf - aber wir haben gewonnen.
